time,rainfall_mm
2025-12-01T00:00:00,1.4
2025-12-01T01:00:00,1.4
2025-12-01T02:00:00,1.3
2025-12-01T03:00:00,2.1
2025-12-01T04:00:00,1.2
2025-12-01T05:00:00,1.5
2025-12-01T06:00:00,0.5
2025-12-01T07:00:00,0.7
2025-12-01T08:00:00,0.9
2025-12-01T09:00:00,1.3
2025-12-01T10:00:00,0.5
2025-12-01T11:00:00,2.2
2025-12-01T12:00:00,3.3
2025-12-01T13:00:00,1.6
2025-12-01T14:00:00,3.6
2025-12-01T15:00:00,7.9
2025-12-01T16:00:00,2.7
2025-12-01T17:00:00,1.9
2025-12-01T18:00:00,0.3
2025-12-01T19:00:00,2.2
2025-12-01T20:00:00,0.0
2025-12-01T21:00:00,0.4
2025-12-01T22:00:00,0.6
2025-12-01T23:00:00,0.0
